datum	text
3.1.2024	V obecných prezentacích aktualizována prezentace PDS v úřadu.
7.11.2023	Aktualizovali jsme celou časovou osu EG. Mimochodem je poučné se v rámci GITu podívat na revize tohoto diagramu, uděláte si tím dobrý přehled o tom, co se daří a jak se co posouvá.
30.10.2023	Ehm, zdá se, že NĚKDO jaksi neaktializuje novinky. No my už si to s ním vyřídíme. Nicméně alespoň z dneška: Nový odkaz na skvělou prezku DIA k PDS (je v prezentacích) a také nový díl edukativního podcastu s provokativním názvem Co znamená soulad s
12.5.2023	Měli jsme teď pár hodin problémy s generováním webu na GitHubu ale už je snad vše OK, omlouváme se.
11.5.2023	Do prezentací přidána finální verze nové prezentace k přístupnosti Základy na něž myslet, a aktualizovány některé další předpřipravené prezentace plus drobné opravy
17.04.2023	Do diagramů jsme přidali nový diagram s úrovněmi práv klienta veřejné správy
15.04.2023	Aby byl alespoň základní přehled co sem přibylo, je tu tahle sekce s novinkami. Hurá!
14.04.2023	Jsme i na Youtube, dole najdete odkaz. Co se týče EGOVedu tak máme v sekci Média podsekci EGOVedu na Youtube a tam najdete především suprový půlhodinový audiopodcast s tím nejdůležitějším základem co byste měli vědět o eGovernmentu. Tématické lektorské podklady budou přibývat.
10.04.2023	Kdo zná naše Učební texty jež byly dosud jen prasácky v MarkDownu na GitHubu, tak teď jsou přímo dostupné z webu a to v sekci Výuka EG v podsekci Učební texty. A nebojte, pracujeme na dalších.
